key,name,Handedness,height,weight,Mean Batting Average,Mean Home Runs,Height_Class,Weight_Class,Physical Attributes,Count
124,Dick Simpson,Right Handed,76,176,0.207,15,Taller,Thinner,Taller & Thinner,100
125,Ken Boswell,Left Handed,72,170,0.248,31,Shorter,Thinner,Shorter & Thinner,107
126,Ken McMullen,Right Handed,75,190,0.248,156,Taller,Heavier,Taller & Heavier,307
127,Randy Scarbery,Both L & R,73,185,0,0,Taller,Heavier,Taller & Heavier,27
128,Steve Swisher,Right Handed,74,205,0.216,20,Taller,Heavier,Taller & Heavier,307
129,Ben Callahan,Right Handed,79,230,0,0,Taller,Heavier,Taller & Heavier,307
130,Dick Howser,Right Handed,68,155,0.248,16,Shorter,Thinner,Shorter & Thinner,229
131,Manny Castillo,Both L & R,69,160,0.242,3,Shorter,Thinner,Shorter & Thinner,54
132,Mike Ramsey,Both L & R,73,170,0.24,2,Taller,Thinner,Taller & Thinner,13
133,Willie Crawford,Left Handed,73,197,0.268,86,Taller,Heavier,Taller & Heavier,119
134,Bobby Cuellar,Right Handed,71,188,0,0,Shorter,Heavier,Shorter & Heavier,101
135,Willie Norwood,Right Handed,72,185,0.242,18,Shorter,Heavier,Shorter & Heavier,101
136,Mike Jones,Left Handed,78,215,0,0,Taller,Heavier,Taller & Heavier,119
137,Jeff Stone,Left Handed,72,175,0.277,11,Shorter,Thinner,Shorter & Thinner,107
138,Ramon Manon,Right Handed,72,150,0,0,Shorter,Thinner,Shorter & Thinner,229
139,Joe Lahoud,Left Handed,73,198,0.223,65,Taller,Heavier,Taller & Heavier,119
140,Tim Flannery,Left Handed,71,175,0.255,9,Shorter,Thinner,Shorter & Thinner,107
141,Dave McKay,Both L & R,73,195,0.229,21,Taller,Heavier,Taller & Heavier,27
142,John Trautwein,Right Handed,75,205,0,0,Taller,Heavier,Taller & Heavier,307
143,Andy Replogle,Right Handed,77,205,0,0,Taller,Heavier,Taller & Heavier,307
144,Zach Crouch,Left Handed,75,180,0,0,Taller,Thinner,Taller & Thinner,43
145,Benny Ayala,Right Handed,73,185,0.251,38,Taller,Heavier,Taller & Heavier,307
146,Ron Romanick,Right Handed,76,195,0,0,Taller,Heavier,Taller & Heavier,307
147,Greg Gross,Left Handed,70,160,0.287,7,Shorter,Thinner,Shorter & Thinner,107
148,Bruce Tanner,Left Handed,75,220,0,0,Taller,Heavier,Taller & Heavier,119
149,Sal Butera,Right Handed,72,190,0.227,8,Shorter,Heavier,Shorter & Heavier,101
150,Jack Brohamer,Left Handed,70,165,0.245,30,Shorter,Thinner,Shorter & Thinner,107
151,Von Joshua,Left Handed,70,170,0.273,30,Shorter,Thinner,Shorter & Thinner,107
152,Eddie Milner,Left Handed,71,173,0.253,42,Shorter,Thinner,Shorter & Thinner,107
153,Johnny Jeter,Right Handed,73,180,0.244,18,Taller,Thinner,Taller & Thinner,100
154,Angel Salazar,Right Handed,72,180,0.212,2,Shorter,Thinner,Shorter & Thinner,229
155,Tony Oliva,Left Handed,73,175,0.304,220,Taller,Thinner,Taller & Thinner,43
156,Cito Gaston,Right Handed,75,190,0.256,91,Taller,Heavier,Taller & Heavier,307
157,Cookie Rojas,Right Handed,70,160,0.263,54,Shorter,Thinner,Shorter & Thinner,229
158,Rich Morales,Right Handed,71,170,0.195,6,Shorter,Thinner,Shorter & Thinner,229
159,Dave Ford,Right Handed,76,190,0,0,Taller,Heavier,Taller & Heavier,307
160,Dan Ford,Right Handed,73,185,0.27,121,Taller,Heavier,Taller & Heavier,307
161,Barry Raziano,Both L & R,70,175,0,0,Shorter,Thinner,Shorter & Thinner,54
162,Darryl Motley,Right Handed,69,196,0.243,44,Shorter,Heavier,Shorter & Heavier,101
163,Ozzie Virgil,Right Handed,73,180,0.243,98,Taller,Thinner,Taller & Thinner,100
164,Johnny Oates,Left Handed,71,188,0.25,14,Shorter,Heavier,Shorter & Heavier,47
165,Pat Underwood,Left Handed,72,175,0,0,Shorter,Thinner,Shorter & Thinner,107
166,Mike Phillips,Left Handed,72,170,0.24,11,Shorter,Thinner,Shorter & Thinner,107
167,Ron Santo,Right Handed,72,190,0.277,342,Shorter,Heavier,Shorter & Heavier,101
168,Jay Johnstone,Left Handed,73,175,0.267,102,Taller,Thinner,Taller & Thinner,43
169,Jim Ray Hart,Right Handed,71,185,0.278,170,Shorter,Heavier,Shorter & Heavier,101
170,Marc Hill,Right Handed,75,205,0.223,34,Taller,Heavier,Taller & Heavier,307
171,Joel McKeon,Left Handed,72,185,0,0,Shorter,Heavier,Shorter & Heavier,47
172,Danny Fife,Right Handed,75,175,0,0,Taller,Thinner,Taller & Thinner,100
173,Chico Salmon,Right Handed,70,160,0.249,31,Shorter,Thinner,Shorter & Thinner,229
174,Joe Niekro,Right Handed,73,185,0.156,1,Taller,Heavier,Taller & Heavier,307
175,Andy Etchebarren,Right Handed,73,190,0.235,49,Taller,Heavier,Taller & Heavier,307
176,Ken Berry,Right Handed,72,175,0.255,58,Shorter,Thinner,Shorter & Thinner,229
177,Dave Concepcion,Right Handed,74,155,0.267,101,Taller,Thinner,Taller & Thinner,100
178,Junior Moore,Right Handed,71,185,0.264,7,Shorter,Heavier,Shorter & Heavier,101
179,Mike Richardt,Right Handed,72,170,0.226,4,Shorter,Thinner,Shorter & Thinner,229
180,Chris Brown,Right Handed,72,185,0.269,38,Shorter,Heavier,Shorter & Heavier,101
181,Al Bumbry,Left Handed,68,170,0.281,54,Shorter,Thinner,Shorter & Thinner,107
182,Al Downing,Right Handed,71,175,0.127,2,Shorter,Thinner,Shorter & Thinner,229
183,Bob Didier,Both L & R,72,190,0.229,0,Shorter,Heavier,Shorter & Heavier,10
184,Jake Gibbs,Left Handed,72,180,0.233,25,Shorter,Thinner,Shorter & Thinner,107
185,Garry Hancock,Left Handed,72,175,0.247,12,Shorter,Thinner,Shorter & Thinner,107
186,Ed Kranepool,Left Handed,75,205,0.261,118,Taller,Heavier,Taller & Heavier,119
187,Rick Rhoden,Right Handed,75,195,0.238,9,Taller,Heavier,Taller & Heavier,307
188,Denny McLain,Right Handed,73,185,0.133,1,Taller,Heavier,Taller & Heavier,307
189,Chuck Hiller,Left Handed,71,170,0.243,20,Shorter,Thinner,Shorter & Thinner,107
190,Jorge Orta,Left Handed,70,170,0.278,130,Shorter,Thinner,Shorter & Thinner,107
191,Dave Cash,Right Handed,71,170,0.283,21,Shorter,Thinner,Shorter & Thinner,229
192,Bucky Dent,Right Handed,69,170,0.247,40,Shorter,Thinner,Shorter & Thinner,229
193,Andy Beene,Right Handed,75,205,0,0,Taller,Heavier,Taller & Heavier,307
194,Bruce Robbins,Left Handed,73,190,0,0,Taller,Heavier,Taller & Heavier,119
195,Tony Gonzalez,Left Handed,69,170,0.286,103,Shorter,Thinner,Shorter & Thinner,107
196,Leon Hooten,Right Handed,71,180,0,0,Shorter,Thinner,Shorter & Thinner,229
197,Larry Haney,Right Handed,74,195,0.215,12,Taller,Heavier,Taller & Heavier,307
198,Billy Conigliaro,Right Handed,72,180,0.256,40,Shorter,Thinner,Shorter & Thinner,229
199,Gary Roenicke,Right Handed,75,205,0.247,121,Taller,Heavier,Taller & Heavier,307
200,Don Lock,Right Handed,74,195,0.238,122,Taller,Heavier,Taller & Heavier,307
201,Billy Cowan,Right Handed,72,170,0.236,40,Shorter,Thinner,Shorter & Thinner,229
202,Billy Smith,Both L & R,74,185,0.23,17,Taller,Heavier,Taller & Heavier,27
203,Allan Ramirez,Right Handed,70,180,0,0,Shorter,Thinner,Shorter & Thinner,229
204,Tony Perez,Right Handed,74,175,0.279,379,Taller,Thinner,Taller & Thinner,100
205,Chuck Schilling,Right Handed,70,160,0.239,23,Shorter,Thinner,Shorter & Thinner,229
206,Hal McRae,Right Handed,71,180,0.29,191,Shorter,Thinner,Shorter & Thinner,229
207,Dave Roberts,Right Handed,75,215,0.239,49,Taller,Heavier,Taller & Heavier,307
208,Brian Allard,Right Handed,73,175,0,0,Taller,Thinner,Taller & Thinner,100
209,Jim Lefebvre,Both L & R,72,180,0.251,74,Shorter,Thinner,Shorter & Thinner,54
210,Fernando Arroyo,Right Handed,74,180,0,0,Taller,Thinner,Taller & Thinner,100
211,Gary Beare,Right Handed,76,205,0,0,Taller,Heavier,Taller & Heavier,307
212,Charlie Spikes,Right Handed,75,215,0.246,65,Taller,Heavier,Taller & Heavier,307
213,Brian Dubois,Left Handed,70,165,0,0,Shorter,Thinner,Shorter & Thinner,107
214,Steve Whitaker,Left Handed,72,180,0.23,24,Shorter,Thinner,Shorter & Thinner,107
215,Manny Jimenez,Left Handed,73,185,0.272,26,Taller,Heavier,Taller & Heavier,119
216,Chris Batton,Right Handed,76,195,0,0,Taller,Heavier,Taller & Heavier,307
217,Duffy Dyer,Right Handed,72,187,0.221,30,Shorter,Heavier,Shorter & Heavier,101
218,Ken Henderson,Both L & R,74,180,0.257,122,Taller,Thinner,Taller & Thinner,13
219,Vance Lovelace,Left Handed,77,205,0,0,Taller,Heavier,Taller & Heavier,119
220,Greg Thayer,Right Handed,71,182,0,0,Shorter,Thinner,Shorter & Thinner,229
221,Vern Fuller,Right Handed,73,170,0.232,14,Taller,Thinner,Taller & Thinner,100
222,Paul Hartzell,Right Handed,77,200,0,0,Taller,Heavier,Taller & Heavier,307
223,Wayne Gross,Left Handed,74,210,0.233,121,Taller,Heavier,Taller & Heavier,119
224,Mike Champion,Right Handed,72,185,0.229,2,Shorter,Heavier,Shorter & Heavier,101
225,Ralph Botting,Left Handed,72,195,0,0,Shorter,Heavier,Shorter & Heavier,47
226,Paul Casanova,Right Handed,76,180,0.225,50,Taller,Thinner,Taller & Thinner,100
227,Steve Rogers,Right Handed,74,175,0.138,0,Taller,Thinner,Taller & Thinner,100
228,Keith Creel,Right Handed,74,180,0,0,Taller,Thinner,Taller & Thinner,100
229,Terry Crowley,Left Handed,72,180,0.25,42,Shorter,Thinner,Shorter & Thinner,107
230,Horace Clarke,Both L & R,69,170,0.256,27,Shorter,Thinner,Shorter & Thinner,54
231,Lou Clinton,Right Handed,73,185,0.247,65,Taller,Heavier,Taller & Heavier,307
232,Larry Cox,Right Handed,70,178,0.221,12,Shorter,Thinner,Shorter & Thinner,229
233,Nate Colbert,Right Handed,74,190,0.243,173,Taller,Heavier,Taller & Heavier,307
234,Phil Roof,Right Handed,74,190,0.215,43,Taller,Heavier,Taller & Heavier,307
235,Chuck Hinton,Right Handed,73,180,0.264,113,Taller,Thinner,Taller & Thinner,100
236,Tim Cullen,Right Handed,73,185,0.22,9,Taller,Heavier,Taller & Heavier,307
237,Tim Harkness,Left Handed,74,182,0.235,14,Taller,Thinner,Taller & Thinner,43
238,Rick Bosetti,Right Handed,71,185,0.25,17,Shorter,Heavier,Shorter & Heavier,101
239,Ron Pruitt,Right Handed,72,185,0.269,12,Shorter,Heavier,Shorter & Heavier,101
240,George Foster,Right Handed,73,180,0.274,348,Taller,Thinner,Taller & Thinner,100
241,Jerry White,Both L & R,70,164,0.253,21,Shorter,Thinner,Shorter & Thinner,54
242,Angel Mangual,Right Handed,70,178,0.245,22,Shorter,Thinner,Shorter & Thinner,229
243,Ken Gerhart,Right Handed,72,190,0.221,24,Shorter,Heavier,Shorter & Heavier,101
244,Mike Hershberger,Right Handed,70,175,0.252,26,Shorter,Thinner,Shorter & Thinner,229
245,Jim French,Left Handed,68,180,0.196,5,Shorter,Thinner,Shorter & Thinner,107
246,Dave Roberts,Left Handed,75,195,0.194,7,Taller,Heavier,Taller & Heavier,119
247,Jim Mason,Left Handed,74,185,0.203,12,Taller,Heavier,Taller & Heavier,119
248,Mike Smith,Right Handed,75,180,0,0,Taller,Thinner,Taller & Thinner,100
249,Willie Smith,Left Handed,72,182,0.248,46,Shorter,Thinner,Shorter & Thinner,107
250,T.R. Bryden,Right Handed,76,190,0,0,Taller,Heavier,Taller & Heavier,307
251,Jose Arcia,Right Handed,75,170,0.215,1,Taller,Thinner,Taller & Thinner,100
252,Leon Durham,Left Handed,73,185,0.277,147,Taller,Heavier,Taller & Heavier,119
253,Tom Makowski,Right Handed,71,185,0,0,Shorter,Heavier,Shorter & Heavier,101
254,Paul Householder,Both L & R,72,180,0.236,29,Shorter,Thinner,Shorter & Thinner,54
255,Aurelio Rodriguez,Right Handed,70,180,0.237,124,Shorter,Thinner,Shorter & Thinner,229
256,Jimmy Stewart,Both L & R,72,165,0.237,8,Shorter,Thinner,Shorter & Thinner,54
257,Dick Phillips,Left Handed,72,180,0.229,12,Shorter,Thinner,Shorter & Thinner,107
258,Andres Thomas,Right Handed,73,170,0.234,42,Taller,Thinner,Taller & Thinner,100
259,Ed Crosby,Left Handed,74,175,0.22,0,Taller,Thinner,Taller & Thinner,43
260,Mike de la Hoz,Right Handed,71,175,0.251,25,Shorter,Thinner,Shorter & Thinner,229
261,Frank Taveras,Right Handed,72,155,0.255,2,Shorter,Thinner,Shorter & Thinner,229
262,Joe Nossek,Right Handed,72,178,0.228,3,Shorter,Thinner,Shorter & Thinner,229
263,Larry Stahl,Left Handed,72,175,0.232,36,Shorter,Thinner,Shorter & Thinner,107
264,Jose Cruz,Left Handed,72,170,0.284,165,Shorter,Thinner,Shorter & Thinner,107
265,Don Mason,Left Handed,71,160,0.205,3,Shorter,Thinner,Shorter & Thinner,107
266,Bill Robinson,Right Handed,74,189,0.258,166,Taller,Heavier,Taller & Heavier,307
267,Jim Umbarger,Left Handed,78,200,0,0,Taller,Heavier,Taller & Heavier,119
268,Sal Bando,Right Handed,72,195,0.254,242,Shorter,Heavier,Shorter & Heavier,101
269,George Mitterwald,Right Handed,74,195,0.236,76,Taller,Heavier,Taller & Heavier,307
270,Mike Darr,Right Handed,76,190,0,0,Taller,Heavier,Taller & Heavier,307
271,Craig Robinson,Right Handed,70,165,0.219,0,Shorter,Thinner,Shorter & Thinner,229
272,Bob Tillman,Right Handed,76,205,0.232,79,Taller,Heavier,Taller & Heavier,307
273,Curt Wardle,Left Handed,77,220,0,0,Taller,Heavier,Taller & Heavier,119
274,Pat Corrales,Right Handed,72,180,0.216,4,Shorter,Thinner,Shorter & Thinner,229
275,Mike Tyson,Right Handed,69,170,0.241,27,Shorter,Thinner,Shorter & Thinner,229
276,Rafael Landestoy,Both L & R,70,165,0.237,4,Shorter,Thinner,Shorter & Thinner,54
277,Duane Josephson,Right Handed,72,190,0.258,23,Shorter,Heavier,Shorter & Heavier,101
278,Duane Walker,Left Handed,72,185,0.229,24,Shorter,Heavier,Shorter & Heavier,47
279,Glenn Hubbard,Right Handed,69,150,0.244,70,Shorter,Thinner,Shorter & Thinner,229
280,Roger Freed,Right Handed,72,190,0.245,22,Shorter,Heavier,Shorter & Heavier,101
281,George Hendrick,Right Handed,75,195,0.278,267,Taller,Heavier,Taller & Heavier,307
282,Rod Carew,Left Handed,72,170,0.328,92,Shorter,Thinner,Shorter & Thinner,107
283,Bob Davis,Right Handed,72,180,0.197,6,Shorter,Thinner,Shorter & Thinner,229
284,Toby Harrah,Right Handed,72,175,0.264,195,Shorter,Thinner,Shorter & Thinner,229
285,Rick Manning,Left Handed,73,180,0.257,56,Taller,Thinner,Taller & Thinner,43
286,Israel Sanchez,Left Handed,69,170,0,0,Shorter,Thinner,Shorter & Thinner,107
287,Steve Burke,Both L & R,74,200,0,0,Taller,Heavier,Taller & Heavier,27
288,Gary Matthews,Right Handed,74,185,0.281,234,Taller,Heavier,Taller & Heavier,307
289,Cesar Geronimo,Left Handed,72,165,0.258,51,Shorter,Thinner,Shorter & Thinner,107
290,Billy Bryan,Left Handed,76,200,0.216,41,Taller,Heavier,Taller & Heavier,119
291,Terry Taylor,Right Handed,73,180,0,0,Taller,Thinner,Taller & Thinner,100
292,Terry Whitfield,Left Handed,73,197,0.281,33,Taller,Heavier,Taller & Heavier,119
293,Mario Mendoza,Right Handed,71,170,0.215,4,Shorter,Thinner,Shorter & Thinner,229
294,Fred Lynn,Left Handed,73,185,0.283,306,Taller,Heavier,Taller & Heavier,119
295,Larry Hisle,Right Handed,74,193,0.273,166,Taller,Heavier,Taller & Heavier,307
296,Graig Nettles,Left Handed,72,180,0.248,390,Shorter,Thinner,Shorter & Thinner,107
297,Randy Nosek,Right Handed,76,215,0,0,Taller,Heavier,Taller & Heavier,307
298,Dave Engle,Right Handed,75,210,0.262,31,Taller,Heavier,Taller & Heavier,307
299,Narciso Elvira,Left Handed,70,160,0,0,Shorter,Thinner,Shorter & Thinner,107
300,Mike Easler,Left Handed,72,190,0.293,118,Shorter,Heavier,Shorter & Heavier,47
301,Mark Smith,Right Handed,74,215,0,0,Taller,Heavier,Taller & Heavier,307
302,Paul Mitchell,Right Handed,73,195,0,0,Taller,Heavier,Taller & Heavier,307
303,Rick Sweet,Both L & R,73,200,0.234,6,Taller,Heavier,Taller & Heavier,27
304,Thurman Munson,Right Handed,71,190,0.292,113,Shorter,Heavier,Shorter & Heavier,101
305,Rick Monday,Left Handed,75,193,0.264,241,Taller,Heavier,Taller & Heavier,119
306,Mike Sadek,Right Handed,69,165,0.226,5,Shorter,Thinner,Shorter & Thinner,229
307,Mark Belanger,Right Handed,73,170,0.228,20,Taller,Thinner,Taller & Thinner,100
308,Ron Hunt,Right Handed,72,186,0.273,39,Shorter,Heavier,Shorter & Heavier,101
309,Joe Keough,Left Handed,72,185,0.246,9,Shorter,Heavier,Shorter & Heavier,47
310,Butch Edge,Right Handed,75,203,0,0,Taller,Heavier,Taller & Heavier,307
311,Vic Correll,Right Handed,70,185,0.229,29,Shorter,Heavier,Shorter & Heavier,101
312,Jackie Hernandez,Right Handed,71,165,0.208,12,Shorter,Thinner,Shorter & Thinner,229
313,Tony Solaita,Left Handed,72,210,0.255,50,Shorter,Heavier,Shorter & Heavier,47
314,U L Washington,Both L & R,71,175,0.251,27,Shorter,Thinner,Shorter & Thinner,54
315,Gary Mielke,Right Handed,75,185,0,0,Taller,Heavier,Taller & Heavier,307
316,Rick Henninger,Right Handed,78,225,0,0,Taller,Heavier,Taller & Heavier,307
317,Joe Foy,Right Handed,72,215,0.248,58,Shorter,Heavier,Shorter & Heavier,101
318,Ed Goodson,Left Handed,75,180,0.26,30,Taller,Thinner,Taller & Thinner,43
319,Mark Brown,Both L & R,74,190,0,0,Taller,Heavier,Taller & Heavier,27
320,Mickey Klutts,Right Handed,71,170,0.241,14,Shorter,Thinner,Shorter & Thinner,229
321,Leroy Stanton,Right Handed,73,195,0.244,77,Taller,Heavier,Taller & Heavier,307
322,Rafael Vasquez,Right Handed,72,160,0,0,Shorter,Thinner,Shorter & Thinner,229
323,Len Whitehouse,Left Handed,71,175,0,0,Shorter,Thinner,Shorter & Thinner,107
324,Danny Ainge,Right Handed,76,175,0.22,2,Taller,Thinner,Taller & Thinner,100
325,Adolfo Phillips,Right Handed,73,175,0.247,59,Taller,Thinner,Taller & Thinner,100
326,Marv Breeding,Right Handed,72,175,0.25,7,Shorter,Thinner,Shorter & Thinner,229
327,Steve Adkins,Right Handed,78,210,0,0,Taller,Heavier,Taller & Heavier,307
328,Dick McAuliffe,Left Handed,71,176,0.247,197,Shorter,Thinner,Shorter & Thinner,107
329,Joe Horlen,Right Handed,72,170,0.134,0,Shorter,Thinner,Shorter & Thinner,229
330,Glenn Burke,Right Handed,72,195,0.237,2,Shorter,Heavier,Shorter & Heavier,101
331,Tony Mack,Right Handed,70,177,0,0,Shorter,Thinner,Shorter & Thinner,229
332,Terry Humphrey,Right Handed,75,185,0.211,6,Taller,Heavier,Taller & Heavier,307
333,Bill Moran,Right Handed,76,210,0,0,Taller,Heavier,Taller & Heavier,307
334,Enzo Hernandez,Right Handed,68,155,0.224,2,Shorter,Thinner,Shorter & Thinner,229
335,Cesar Gutierrez,Right Handed,69,155,0.235,0,Shorter,Thinner,Shorter & Thinner,229
336,Coco Laboy,Right Handed,70,165,0.233,28,Shorter,Thinner,Shorter & Thinner,229
337,Ted Kubiak,Both L & R,72,175,0.231,13,Shorter,Thinner,Shorter & Thinner,54
338,Jim Morrison,Right Handed,71,175,0.26,112,Shorter,Thinner,Shorter & Thinner,229
339,Tom Gilles,Right Handed,73,185,0,0,Taller,Heavier,Taller & Heavier,307
340,Bobby Knoop,Right Handed,73,170,0.236,56,Taller,Thinner,Taller & Thinner,100
341,Bobby Brown,Both L & R,74,190,0.245,26,Taller,Heavier,Taller & Heavier,27
342,Tom Hutton,Left Handed,71,180,0.248,22,Shorter,Thinner,Shorter & Thinner,107
343,Ron Hodges,Left Handed,73,185,0.24,19,Taller,Heavier,Taller & Heavier,119
344,Rich Chiles,Left Handed,71,170,0.254,6,Shorter,Thinner,Shorter & Thinner,107
345,Tom Paciorek,Right Handed,76,215,0.282,86,Taller,Heavier,Taller & Heavier,307
346,Gary Woods,Right Handed,74,185,0.243,13,Taller,Heavier,Taller & Heavier,307
347,Bob Montgomery,Right Handed,73,195,0.258,23,Taller,Heavier,Taller & Heavier,307
348,Jeff Burroughs,Right Handed,73,200,0.261,240,Taller,Heavier,Taller & Heavier,307
349,Rusty Staub,Left Handed,74,190,0.279,292,Taller,Heavier,Taller & Heavier,119
350,Jim Norris,Left Handed,70,175,0.264,7,Shorter,Thinner,Shorter & Thinner,107
351,Oscar Gamble,Left Handed,71,160,0.265,200,Shorter,Thinner,Shorter & Thinner,107
352,Bob Kammeyer,Right Handed,76,210,0,0,Taller,Heavier,Taller & Heavier,307
353,George Vukovich,Left Handed,72,198,0.268,27,Shorter,Heavier,Shorter & Heavier,47
354,Joe Pactwa,Left Handed,71,185,0,0,Shorter,Heavier,Shorter & Heavier,47
355,Craig Reynolds,Left Handed,73,175,0.256,42,Taller,Thinner,Taller & Thinner,43
356,Paul Blair,Right Handed,72,168,0.25,134,Shorter,Thinner,Shorter & Thinner,229
357,Al Cowens,Right Handed,73,197,0.27,108,Taller,Heavier,Taller & Heavier,307
358,Al Oliver,Left Handed,72,195,0.303,219,Shorter,Heavier,Shorter & Heavier,47
359,Dave Hilton,Right Handed,71,191,0.213,6,Shorter,Heavier,Shorter & Heavier,101
360,Luis Alvarado,Right Handed,69,162,0.214,5,Shorter,Thinner,Shorter & Thinner,229
361,Larry Parrish,Right Handed,75,190,0.263,256,Taller,Heavier,Taller & Heavier,307
362,Woodie Fryman,Right Handed,75,197,0.138,2,Taller,Heavier,Taller & Heavier,307
363,Bob Randall,Right Handed,74,175,0.257,1,Taller,Thinner,Taller & Thinner,100
364,Jim Pankovits,Right Handed,70,170,0.25,9,Shorter,Thinner,Shorter & Thinner,229
365,Sherman Corbett,Left Handed,76,205,0,0,Taller,Heavier,Taller & Heavier,119
366,Carmen Fanzone,Right Handed,72,200,0.224,20,Shorter,Heavier,Shorter & Heavier,101
367,Gary Allenson,Right Handed,71,185,0.221,19,Shorter,Heavier,Shorter & Heavier,101
368,Milt May,Left Handed,72,190,0.263,77,Shorter,Heavier,Shorter & Heavier,47
369,Mike Vail,Right Handed,73,180,0.279,34,Taller,Thinner,Taller & Thinner,100
370,Nick Esasky,Right Handed,75,200,0.25,122,Taller,Heavier,Taller & Heavier,307
371,Jim Nettles,Left Handed,72,186,0.22,16,Shorter,Heavier,Shorter & Heavier,47
372,Lafayette Currence,Both L & R,71,175,0,0,Shorter,Thinner,Shorter & Thinner,54
373,Chris Cannizzaro,Right Handed,72,190,0.235,18,Shorter,Heavier,Shorter & Heavier,101
374,Larry Biittner,Left Handed,74,205,0.273,29,Taller,Heavier,Taller & Heavier,119
375,John Pawlowski,Right Handed,74,175,0,0,Taller,Thinner,Taller & Thinner,100
376,Mel Stottlemyre,Right Handed,73,178,0.16,7,Taller,Thinner,Taller & Thinner,100
377,Jack Hardy,Right Handed,74,175,0,0,Taller,Thinner,Taller & Thinner,100
378,Ron Musselman,Right Handed,74,185,0,0,Taller,Heavier,Taller & Heavier,307
379,Roy Smalley,Both L & R,73,185,0.257,163,Taller,Heavier,Taller & Heavier,27
380,Tony Chevez,Right Handed,71,177,0,0,Shorter,Thinner,Shorter & Thinner,229
381,Andy Messersmith,Right Handed,73,200,0.17,5,Taller,Heavier,Taller & Heavier,307
382,Richie Zisk,Right Handed,73,200,0.287,207,Taller,Heavier,Taller & Heavier,307
383,Dave Chalk,Right Handed,70,175,0.252,15,Shorter,Thinner,Shorter & Thinner,229
384,Don Baylor,Right Handed,73,190,0.26,338,Taller,Heavier,Taller & Heavier,307
385,John Vukovich,Right Handed,73,187,0.161,6,Taller,Heavier,Taller & Heavier,307
386,Danny Thompson,Right Handed,72,183,0.248,15,Shorter,Thinner,Shorter & Thinner,229
387,Joe Simpson,Left Handed,75,175,0.242,9,Taller,Thinner,Taller & Thinner,43
388,Bill Fahey,Left Handed,72,200,0.241,7,Shorter,Heavier,Shorter & Heavier,47
389,Doug Camilli,Right Handed,71,195,0.199,18,Shorter,Heavier,Shorter & Heavier,101
390,Bernie Allen,Left Handed,72,175,0.239,73,Shorter,Thinner,Shorter & Thinner,107
391,Bruce Bochy,Right Handed,75,205,0.239,26,Taller,Heavier,Taller & Heavier,307
392,Gary Ignasiak,Right Handed,71,185,0,0,Shorter,Heavier,Shorter & Heavier,101
393,Claudell Washington,Left Handed,72,190,0.278,164,Shorter,Heavier,Shorter & Heavier,47
394,John Donaldson,Left Handed,71,160,0.238,4,Shorter,Thinner,Shorter & Thinner,107
395,Mike Smithson,Left Handed,80,215,0,0,Taller,Heavier,Taller & Heavier,119
396,John Mayberry,Left Handed,75,215,0.253,255,Taller,Heavier,Taller & Heavier,119
397,Ken Reitz,Right Handed,72,180,0.26,68,Shorter,Thinner,Shorter & Thinner,229
398,Amos Otis,Right Handed,71,165,0.277,193,Shorter,Thinner,Shorter & Thinner,229
399,Gene Alley,Right Handed,70,160,0.254,55,Shorter,Thinner,Shorter & Thinner,229
400,Ted Sizemore,Right Handed,70,165,0.262,23,Shorter,Thinner,Shorter & Thinner,229
401,Dan Briggs,Left Handed,72,180,0.195,12,Shorter,Thinner,Shorter & Thinner,107
402,Joe Skalski,Right Handed,75,190,0,0,Taller,Heavier,Taller & Heavier,307
403,Doug Flynn,Right Handed,71,165,0.238,7,Shorter,Thinner,Shorter & Thinner,229
404,Bert Bradley,Both L & R,73,190,0,0,Taller,Heavier,Taller & Heavier,27
405,Ken Holtzman,Right Handed,74,175,0.163,2,Taller,Thinner,Taller & Thinner,100
406,Pete Ward,Left Handed,73,185,0.254,98,Taller,Heavier,Taller & Heavier,119
407,Kevin Bell,Right Handed,72,195,0.222,13,Shorter,Heavier,Shorter & Heavier,101
408,Tom Nieto,Right Handed,73,193,0.205,5,Taller,Heavier,Taller & Heavier,307
409,Duke Sims,Left Handed,74,197,0.239,100,Taller,Heavier,Taller & Heavier,119
410,Larvell Blanks,Right Handed,68,167,0.253,20,Shorter,Thinner,Shorter & Thinner,229
411,Francisco Barrios,Right Handed,71,155,0,0,Shorter,Thinner,Shorter & Thinner,229
412,Mike Davis,Left Handed,74,175,0.259,91,Taller,Thinner,Taller & Thinner,43
413,Jerry Reuss,Left Handed,77,200,0.167,1,Taller,Heavier,Taller & Heavier,119
414,Steve Yeager,Right Handed,72,190,0.228,102,Shorter,Heavier,Shorter & Heavier,101
415,Danny Goodwin,Left Handed,73,195,0.236,13,Taller,Heavier,Taller & Heavier,119
416,Bud Harrelson,Both L & R,71,160,0.236,7,Shorter,Thinner,Shorter & Thinner,54
417,Bob Knepper,Left Handed,75,195,0.137,6,Taller,Heavier,Taller & Heavier,119
418,Mickey Rivers,Left Handed,70,165,0.295,61,Shorter,Thinner,Shorter & Thinner,107
419,Jim Northrup,Left Handed,75,190,0.267,153,Taller,Heavier,Taller & Heavier,119
420,John Hale,Left Handed,74,195,0.201,14,Taller,Heavier,Taller & Heavier,119
421,Reggie Ritter,Left Handed,74,195,0,0,Taller,Heavier,Taller & Heavier,119
