key,name,Handedness,height,weight,Mean Batting Average,Mean Home Runs,Height_Class,Weight_Class,Physical Attributes,Count
1057,Marty Perez,Right Handed,71,160,0.246,22,Shorter,Thinner,Shorter & Thinner,229
1058,Tom Matchick,Left Handed,73,173,0.215,4,Taller,Thinner,Taller & Thinner,43
1059,Jack Perconte,Left Handed,70,160,0.27,2,Shorter,Thinner,Shorter & Thinner,107
1060,Ed Kirkpatrick,Left Handed,71,195,0.238,85,Shorter,Heavier,Shorter & Heavier,47
1061,Jerry Grote,Right Handed,70,185,0.252,39,Shorter,Heavier,Shorter & Heavier,101
1062,Ellie Hendricks,Left Handed,73,175,0.22,62,Taller,Thinner,Taller & Thinner,43
1063,Jim Beauchamp,Right Handed,74,190,0.231,14,Taller,Heavier,Taller & Heavier,307
1064,Terry Wilshusen,Right Handed,74,210,0,0,Taller,Heavier,Taller & Heavier,307
1065,Tito Fuentes,Both L & R,71,175,0.268,45,Shorter,Thinner,Shorter & Thinner,54
1066,Ron Brand,Right Handed,67,167,0.239,3,Shorter,Thinner,Shorter & Thinner,229
1067,Leo Cardenas,Right Handed,71,150,0.257,118,Shorter,Thinner,Shorter & Thinner,229
1068,Art Shamsky,Left Handed,73,168,0.253,68,Taller,Thinner,Taller & Thinner,43
1069,Steve Ellsworth,Right Handed,80,220,0,0,Taller,Heavier,Taller & Heavier,307
1070,Ron Cey,Right Handed,70,185,0.261,316,Shorter,Heavier,Shorter & Heavier,101
1071,Skip Jutze,Right Handed,71,190,0.215,3,Shorter,Heavier,Shorter & Heavier,101
1072,Butch Wynegar,Both L & R,73,190,0.255,65,Taller,Heavier,Taller & Heavier,27
1073,Ron LeFlore,Right Handed,72,200,0.288,59,Shorter,Heavier,Shorter & Heavier,101
1074,Bill Russell,Right Handed,72,175,0.263,46,Shorter,Thinner,Shorter & Thinner,229
1075,Gene Tenace,Right Handed,72,190,0.241,201,Shorter,Heavier,Shorter & Heavier,101
1076,Bubba Morton,Right Handed,70,175,0.267,14,Shorter,Thinner,Shorter & Thinner,229
1077,Ellie Rodriguez,Right Handed,71,185,0.245,16,Shorter,Heavier,Shorter & Heavier,101
1078,Darrel Chaney,Both L & R,74,188,0.217,14,Taller,Heavier,Taller & Heavier,27
1079,Dick Nen,Left Handed,74,200,0.224,21,Taller,Heavier,Taller & Heavier,119
1080,Bryan Kelly,Right Handed,74,195,0,0,Taller,Heavier,Taller & Heavier,307
1081,Bill Freehan,Right Handed,75,203,0.262,200,Taller,Heavier,Taller & Heavier,307
1082,Steve Nicosia,Right Handed,70,185,0.248,11,Shorter,Heavier,Shorter & Heavier,101
1083,Ted Savage,Right Handed,73,185,0.233,34,Taller,Heavier,Taller & Heavier,307
1084,Pete Mackanin,Right Handed,74,190,0.226,30,Taller,Heavier,Taller & Heavier,307
1085,Rich Dauer,Right Handed,72,180,0.257,43,Shorter,Thinner,Shorter & Thinner,229
1086,Mick Kelleher,Right Handed,69,176,0.213,0,Shorter,Thinner,Shorter & Thinner,229
1087,Rowland Office,Left Handed,72,170,0.259,32,Shorter,Thinner,Shorter & Thinner,107
1088,Rick Leach,Left Handed,73,180,0.268,18,Taller,Thinner,Taller & Thinner,43
1089,Dwayne Murphy,Left Handed,73,185,0.246,166,Taller,Heavier,Taller & Heavier,119
1090,Larry Harlow,Left Handed,74,185,0.248,12,Taller,Heavier,Taller & Heavier,119
1091,Mike Epstein,Left Handed,75,230,0.244,130,Taller,Heavier,Taller & Heavier,119
1092,Jerry Mumphrey,Both L & R,74,185,0.289,70,Taller,Heavier,Taller & Heavier,27
1093,Don Sutton,Right Handed,73,185,0.144,0,Taller,Heavier,Taller & Heavier,307
1094,Glenn Beckert,Right Handed,73,190,0.283,22,Taller,Heavier,Taller & Heavier,307
1095,Ron Davis,Right Handed,72,175,0.233,10,Shorter,Thinner,Shorter & Thinner,229
1096,Mike Shannon,Right Handed,75,195,0.255,68,Taller,Heavier,Taller & Heavier,307
1097,Jason Thompson,Left Handed,76,200,0.261,208,Taller,Heavier,Taller & Heavier,119
1098,Wayne Tolleson,Both L & R,69,160,0.241,9,Shorter,Thinner,Shorter & Thinner,54
1099,John Leister,Right Handed,74,200,0,0,Taller,Heavier,Taller & Heavier,307
1100,Don Cooper,Right Handed,73,185,0,0,Taller,Heavier,Taller & Heavier,307
1101,Mike Jorgensen,Left Handed,72,195,0.243,95,Shorter,Heavier,Shorter & Heavier,47
1102,Ed Romero,Right Handed,71,160,0.247,8,Shorter,Thinner,Shorter & Thinner,229
1103,Rick Joseph,Right Handed,73,192,0.243,13,Taller,Heavier,Taller & Heavier,307
1104,Cecil Cooper,Left Handed,74,165,0.298,241,Taller,Thinner,Taller & Thinner,43
1105,Bill Almon,Right Handed,75,180,0.254,36,Taller,Thinner,Taller & Thinner,100
1106,Joe Ferguson,Right Handed,74,200,0.24,122,Taller,Heavier,Taller & Heavier,307
1107,Jeff Jones,Right Handed,75,210,0,0,Taller,Heavier,Taller & Heavier,307
1108,Jerry Terrell,Right Handed,71,165,0.253,4,Shorter,Thinner,Shorter & Thinner,229
1109,John Poloni,Left Handed,77,210,0,0,Taller,Heavier,Taller & Heavier,119
1110,Dave Revering,Left Handed,76,210,0.265,62,Taller,Heavier,Taller & Heavier,119
1111,Curt Ford,Left Handed,70,150,0.245,7,Shorter,Thinner,Shorter & Thinner,107
1112,Jerry Dybzinski,Right Handed,74,180,0.234,3,Taller,Thinner,Taller & Thinner,100
1113,Mike Willis,Left Handed,74,205,0,0,Taller,Heavier,Taller & Heavier,119
1114,Bob Burda,Left Handed,71,174,0.224,13,Shorter,Thinner,Shorter & Thinner,107
1115,Jesse Gonder,Left Handed,70,180,0.251,26,Shorter,Thinner,Shorter & Thinner,107
1116,Gary Sutherland,Right Handed,72,185,0.243,24,Shorter,Heavier,Shorter & Heavier,101
1117,Bob Coluccio,Right Handed,71,183,0.22,26,Shorter,Thinner,Shorter & Thinner,229
1118,Dave Rader,Left Handed,71,165,0.257,30,Shorter,Thinner,Shorter & Thinner,107
1119,Ron Gardenhire,Right Handed,72,175,0.232,4,Shorter,Thinner,Shorter & Thinner,229
1120,Bill Sharp,Left Handed,70,178,0.255,9,Shorter,Thinner,Shorter & Thinner,107
1121,Alan Bannister,Right Handed,71,170,0.27,19,Shorter,Thinner,Shorter & Thinner,229
